2018-03-28 00:58:10,512 root         DEBUG    Logger is set up
2018-03-28 00:58:10,513 root         DEBUG    Base URL = http://python.org and MaxDepth = 40.
2018-03-28 00:58:10,518 urllib3.connectionpool DEBUG    Starting new HTTP connection (1): python.org
2018-03-28 00:58:11,117 urllib3.connectionpool DEBUG    http://python.org:80 "GET / HTTP/1.1" 301 0
2018-03-28 00:58:11,122 urllib3.connectionpool DEBUG    Starting new HTTPS connection (1): python.org
2018-03-28 00:58:12,552 urllib3.connectionpool DEBUG    https://python.org:443 "GET / HTTP/1.1" 301 178
2018-03-28 00:58:12,564 urllib3.connectionpool DEBUG    Starting new HTTPS connection (1): www.python.org
2018-03-28 00:58:13,053 urllib3.connectionpool DEBUG    https://www.python.org:443 "GET / HTTP/1.1" 200 48922
2018-03-28 00:58:13,223 root         DEBUG    Response on hitting http://python.org : 200 The request is OK
2018-03-28 00:58:13,321 root         DEBUG    Visited https://docs.python.org, 39 more links can be crawled
2018-03-28 00:58:13,321 root         DEBUG    Visited https://pypi.python.org/, 38 more links can be crawled
2018-03-28 00:58:13,322 root         DEBUG    Visited http://plus.google.com/+Python, 37 more links can be crawled
2018-03-28 00:58:13,322 root         DEBUG    Visited http://www.facebook.com/pythonlang?fref=ts, 36 more links can be crawled
2018-03-28 00:58:13,322 root         DEBUG    Visited http://twitter.com/ThePSF, 35 more links can be crawled
2018-03-28 00:58:13,322 root         DEBUG    Visited http://brochure.getpython.info/, 34 more links can be crawled
2018-03-28 00:58:13,322 root         DEBUG    Visited https://docs.python.org/3/license.html, 33 more links can be crawled
2018-03-28 00:58:13,322 root         DEBUG    Visited https://wiki.python.org/moin/BeginnersGuide, 32 more links can be crawled
2018-03-28 00:58:13,322 root         DEBUG    Visited https://devguide.python.org/, 31 more links can be crawled
2018-03-28 00:58:13,322 root         DEBUG    Visited https://docs.python.org/faq/, 30 more links can be crawled
2018-03-28 00:58:13,322 root         DEBUG    Visited http://wiki.python.org/moin/Languages, 29 more links can be crawled
2018-03-28 00:58:13,322 root         DEBUG    Visited http://python.org/dev/peps/, 28 more links can be crawled
2018-03-28 00:58:13,322 root         DEBUG    Visited https://wiki.python.org/moin/PythonBooks, 27 more links can be crawled
2018-03-28 00:58:13,322 root         DEBUG    Visited https://wiki.python.org/moin/, 26 more links can be crawled
2018-03-28 00:58:13,322 root         DEBUG    Visited https://www.python.org/psf/codeofconduct/, 25 more links can be crawled
2018-03-28 00:58:13,322 root         DEBUG    Visited http://planetpython.org/, 24 more links can be crawled
2018-03-28 00:58:13,322 root         DEBUG    Visited http://pyfound.blogspot.com/, 23 more links can be crawled
2018-03-28 00:58:13,322 root         DEBUG    Visited http://pycon.blogspot.com/, 22 more links can be crawled
2018-03-28 00:58:13,323 root         DEBUG    Visited https://wiki.python.org/moin/PythonEventsCalendar#Submitting_an_Event, 21 more links can be crawled
2018-03-28 00:58:13,323 root         DEBUG    Visited http://docs.python.org/3/tutorial/introduction.html#using-python-as-a-calculator, 20 more links can be crawled
2018-03-28 00:58:13,323 root         DEBUG    Visited https://wiki.python.org/moin/Python2orPython3, 19 more links can be crawled
2018-03-28 00:58:13,323 root         DEBUG    https://docs.python.org already queued or visited
2018-03-28 00:58:13,323 root         DEBUG    Visited http://blog.python.org, 18 more links can be crawled
2018-03-28 00:58:13,323 root         DEBUG    Visited http://feedproxy.google.com/~r/PythonInsider/~3/k4h0NbCP_pQ/the-all-new-python-package-index-is-now.html, 17 more links can be crawled
2018-03-28 00:58:13,323 root         DEBUG    Visited http://feedproxy.google.com/~r/PythonInsider/~3/r2t6CLt4uWQ/python-365rc1-is-now-available-for.html, 16 more links can be crawled
2018-03-28 00:58:13,323 root         DEBUG    Visited http://feedproxy.google.com/~r/PythonInsider/~3/EJhf_SuyzQo/python-370b2-is-now-available-for.html, 15 more links can be crawled
2018-03-28 00:58:13,323 root         DEBUG    Visited http://feedproxy.google.com/~r/PythonInsider/~3/AMoBel8b8Mc/python-3.html, 14 more links can be crawled
2018-03-28 00:58:13,323 root         DEBUG    Visited http://feedproxy.google.com/~r/PythonInsider/~3/8IejAvuCc1w/python-3.html, 13 more links can be crawled
2018-03-28 00:58:13,323 root         DEBUG    Visited http://www.djangoproject.com/, 12 more links can be crawled
2018-03-28 00:58:13,323 root         DEBUG    Visited http://www.pylonsproject.org/, 11 more links can be crawled
2018-03-28 00:58:13,324 root         DEBUG    Visited http://bottlepy.org, 10 more links can be crawled
2018-03-28 00:58:13,324 root         DEBUG    Visited http://tornadoweb.org, 9 more links can be crawled
2018-03-28 00:58:13,324 root         DEBUG    Visited http://flask.pocoo.org/, 8 more links can be crawled
2018-03-28 00:58:13,324 root         DEBUG    Visited http://www.web2py.com/, 7 more links can be crawled
2018-03-28 00:58:13,324 root         DEBUG    Visited http://wiki.python.org/moin/TkInter, 6 more links can be crawled
2018-03-28 00:58:13,324 root         DEBUG    Visited https://wiki.gnome.org/Projects/PyGObject, 5 more links can be crawled
2018-03-28 00:58:13,324 root         DEBUG    Visited http://www.riverbankcomputing.co.uk/software/pyqt/intro, 4 more links can be crawled
2018-03-28 00:58:13,324 root         DEBUG    Visited https://wiki.qt.io/PySide, 3 more links can be crawled
2018-03-28 00:58:13,324 root         DEBUG    Visited https://kivy.org/, 2 more links can be crawled
2018-03-28 00:58:13,324 root         DEBUG    Visited http://www.wxpython.org/, 1 more links can be crawled
2018-03-28 00:58:13,324 root         DEBUG    Visited http://www.scipy.org, 0 more links can be crawled
2018-03-28 00:58:13,324 root         DEBUG    Web urls obtained on hitting http://python.org
