Parent Link, ChildLink
http://python.org, https://docs.python.org
http://python.org, https://pypi.python.org/
http://python.org, http://plus.google.com/+Python
http://python.org, http://www.facebook.com/pythonlang?fref=ts
http://python.org, http://twitter.com/ThePSF
http://python.org, http://brochure.getpython.info/
http://python.org, https://docs.python.org/3/license.html
http://python.org, https://wiki.python.org/moin/BeginnersGuide
http://python.org, https://devguide.python.org/
http://python.org, https://docs.python.org/faq/
http://python.org, http://wiki.python.org/moin/Languages
http://python.org, http://python.org/dev/peps/
